                          Elliptical Orbit Data

                          Mstar =      1.050 Msun
                          a     =      6.220 AU
                          P     =     15.138 yr
                          e     =      0.700


        t (yr)            r (AU)            theta (deg)            x (AU)            y (AU)
        ------            ------            -----------            ------            ------
         0.000             1.866                  0.000             1.866             0.000
         0.076             1.890                 14.283             1.832             0.466
         0.151             1.962                 28.204             1.729             0.927
         0.227             2.077                 41.125             1.565             1.366
         0.303             2.227                 52.653             1.351             1.770
         0.378             2.401                 62.684             1.102             2.133
         0.454             2.591                 71.311             0.830             2.454
         0.530             2.790                 78.719             0.546             2.736
         0.606             2.993                 85.107             0.255             2.983
         0.681             3.198                 90.657            -0.037             3.198
         0.757             3.401                 95.520            -0.327             3.385
         0.833             3.602                 99.819            -0.614             3.549
         0.908             3.800                103.652            -0.897             3.693
         0.984             3.994                107.096            -1.174             3.818
         1.060             4.184                110.213            -1.446             3.927
         1.135             4.370                113.054            -1.711             4.021
         1.211             4.552                115.658            -1.971             4.103
         1.287             4.729                118.058            -2.225             4.174
         1.362             4.903                120.282            -2.472             4.234
         1.438             5.072                122.351            -2.714             4.285
         1.514             5.237                124.284            -2.950             4.327
         1.589             5.399                126.097            -3.181             4.362
         1.665             5.556                127.803            -3.406             4.390
         1.741             5.710                129.414            -3.625             4.411
         1.817             5.860                130.940            -3.840             4.427
         1.892             6.007                132.388            -4.049             4.437
         1.968             6.150                133.766            -4.254             4.441
         2.044             6.290                135.081            -4.454             4.441
         2.119             6.427                136.338            -4.649             4.437
         2.195             6.560                137.542            -4.840             4.428
         2.271             6.691                138.698            -5.026             4.416
         2.346             6.818                139.809            -5.208             4.400
         2.422             6.942                140.879            -5.386             4.380
         2.498             7.064                141.911            -5.560             4.358
         2.573             7.183                142.907            -5.729             4.332
         2.649             7.299                143.871            -5.895             4.303
         2.725             7.412                144.805            -6.057             4.272
         2.800             7.523                145.710            -6.216             4.238
         2.876             7.631                146.589            -6.370             4.202
         2.952             7.737                147.443            -6.521             4.164
         3.028             7.840                148.273            -6.669             4.123
         3.103             7.941                149.082            -6.813             4.080
         3.179             8.040                149.871            -6.953             4.035
         3.255             8.136                150.640            -7.091             3.989
