                          Elliptical Orbit Data

                          Mstar =      1.050 Msun
                          a     =      6.220 AU
                          P     =     15.138 yr
                          e     =      0.700


        t (yr)            r (AU)            theta (deg)            x (AU)            y (AU)
         3.330             8.230                151.392            -7.225             3.941
         3.406             8.321                152.126            -7.356             3.890
         3.482             8.411                152.844            -7.484             3.839
         3.557             8.498                153.547            -7.608             3.786
         3.633             8.583                154.236            -7.730             3.731
         3.709             8.666                154.911            -7.849             3.675
         3.784             8.747                155.573            -7.964             3.617
         3.860             8.826                156.223            -8.077             3.558
         3.936             8.903                156.862            -8.187             3.498
         4.011             8.978                157.489            -8.294             3.437
         4.087             9.051                158.106            -8.398             3.375
         4.163             9.122                158.713            -8.500             3.312
         4.239             9.191                159.311            -8.598             3.247
         4.314             9.258                159.900            -8.694             3.182
         4.390             9.324                160.480            -8.788             3.115
         4.466             9.387                161.052            -8.878             3.048
         4.541             9.449                161.616            -8.967             2.980
         4.617             9.509                162.173            -9.052             2.911
         4.693             9.567                162.723            -9.135             2.841
         4.768             9.623                163.267            -9.216             2.771
         4.844             9.678                163.804            -9.294             2.699
         4.920             9.731                164.335            -9.369             2.627
         4.995             9.782                164.860            -9.442             2.555
         5.071             9.831                165.380            -9.513             2.482
         5.147             9.879                165.894            -9.581             2.408
         5.222             9.925                166.404            -9.647             2.333
         5.298             9.969                166.909            -9.710             2.258
         5.374            10.012                167.409            -9.771             2.183
         5.450            10.053                167.905            -9.830             2.106
         5.525            10.093                168.397            -9.887             2.030
         5.601            10.131                168.886            -9.941             1.953
         5.677            10.167                169.370            -9.992             1.875
         5.752            10.202                169.851           -10.042             1.798
         5.828            10.235                170.329           -10.089             1.719
         5.904            10.266                170.804           -10.134             1.641
         5.979            10.296                171.276           -10.177             1.562
         6.055            10.324                171.745           -10.217             1.482
         6.131            10.351                172.211           -10.256             1.403
         6.206            10.376                172.676           -10.292             1.323
         6.282            10.400                173.137           -10.326             1.243
         6.358            10.422                173.597           -10.357             1.162
         6.434            10.443                174.055           -10.387             1.082
         6.509            10.462                174.511           -10.414             1.001
         6.585            10.480                174.966           -10.439             0.920
         6.661            10.496                175.418           -10.462             0.838
         6.736            10.510                175.870           -10.483             0.757
         6.812            10.523                176.320           -10.502             0.675
         6.888            10.535                176.769           -10.518             0.594
         6.963            10.545                177.217           -10.533             0.512
         7.039            10.554                177.664           -10.545             0.430
         7.115            10.561                178.111           -10.555             0.348
         7.190            10.566                178.557           -10.563             0.266
         7.266            10.570                179.002           -10.569             0.184
         7.342            10.573                179.447           -10.572             0.102
         7.417            10.574                179.892           -10.574             0.020
         7.493            10.574                180.337           -10.573            -0.062
         7.569            10.572                180.782           -10.571            -0.144
         7.645            10.568                181.227           -10.566            -0.226
         7.720            10.564                181.672           -10.559            -0.308
         7.796            10.557                182.118           -10.550            -0.390
         7.872            10.549                182.564           -10.539            -0.472
         7.947            10.540                183.011           -10.525            -0.554
         8.023            10.529                183.459           -10.510            -0.635
         8.099            10.517                183.907           -10.493            -0.717
         8.174            10.503                184.357           -10.473            -0.798
         8.250            10.488                184.808           -10.451            -0.879
         8.326            10.471                185.260           -10.427            -0.960
         8.401            10.453                185.713           -10.401            -1.041
         8.477            10.433                186.169           -10.373            -1.121
         8.553            10.412                186.625           -10.342            -1.201
         8.628            10.389                187.084           -10.310            -1.281
         8.704            10.365                187.545           -10.275            -1.361
         8.780            10.339                188.008           -10.238            -1.440
         8.856            10.311                188.473           -10.199            -1.519
         8.931            10.282                188.941           -10.158            -1.598
         9.007            10.252                189.411           -10.114            -1.676
         9.083            10.220                189.885           -10.068            -1.754
         9.158            10.186                190.361           -10.020            -1.832
         9.234            10.151                190.840            -9.970            -1.909
         9.310            10.115                191.323            -9.918            -1.986
         9.385            10.076                191.809            -9.863            -2.062
         9.461            10.037                192.298            -9.806            -2.138
         9.537             9.995                192.792            -9.747            -2.213
         9.612             9.952                193.290            -9.686            -2.288
         9.688             9.907                193.792            -9.622            -2.362
         9.764             9.861                194.299            -9.556            -2.435
         9.839             9.813                194.810            -9.487            -2.508
         9.915             9.764                195.327            -9.417            -2.581
         9.991             9.713                195.848            -9.343            -2.652
        10.067             9.660                196.375            -9.268            -2.723
        10.142             9.605                196.908            -9.190            -2.794
        10.218             9.549                197.447            -9.110            -2.863
        10.294             9.491                197.993            -9.027            -2.932
        10.369             9.431                198.545            -8.942            -3.000
        10.445             9.370                199.104            -8.854            -3.067
        10.521             9.307                199.671            -8.764            -3.133
        10.596             9.242                200.245            -8.671            -3.198
        10.672             9.175                200.827            -8.576            -3.262
        10.748             9.107                201.418            -8.478            -3.325
        10.823             9.036                202.017            -8.377            -3.388
        10.899             8.964                202.627            -8.274            -3.449
        10.975             8.890                203.245            -8.168            -3.509
        11.050             8.814                203.875            -8.060            -3.567
        11.126             8.736                204.515            -7.949            -3.625
        11.202             8.657                205.166            -7.835            -3.681
        11.278             8.575                205.830            -7.718            -3.736
        11.353             8.491                206.506            -7.599            -3.790
        11.429             8.406                207.196            -7.476            -3.842
        11.505             8.318                207.900            -7.351            -3.892
        11.580             8.228                208.619            -7.223            -3.941
        11.656             8.137                209.353            -7.092            -3.988
        11.732             8.043                210.105            -6.958            -4.034
        11.807             7.947                210.873            -6.821            -4.078
        11.883             7.848                211.661            -6.680            -4.120
        11.959             7.748                212.468            -6.537            -4.159
        12.034             7.645                213.297            -6.390            -4.197
        12.110             7.541                214.148            -6.241            -4.233
        12.186             7.433                215.022            -6.087            -4.266
        12.261             7.324                215.922            -5.931            -4.297
        12.337             7.212                216.849            -5.771            -4.325
        12.413             7.098                217.806            -5.608            -4.351
        12.489             6.981                218.793            -5.441            -4.374
        12.564             6.862                219.813            -5.271            -4.393
        12.640             6.740                220.869            -5.097            -4.410
        12.716             6.616                221.964            -4.919            -4.424
        12.791             6.489                223.101            -4.738            -4.434
        12.867             6.359                224.282            -4.552            -4.440
        12.943             6.227                225.512            -4.363            -4.442
        13.018             6.091                226.795            -4.170            -4.440
        13.094             5.953                228.135            -3.973            -4.434
        13.170             5.813                229.538            -3.772            -4.422
        13.245             5.669                231.010            -3.567            -4.406
        13.321             5.522                232.557            -3.357            -4.385
        13.397             5.373                234.188            -3.144            -4.357
        13.473             5.220                235.911            -2.926            -4.323
        13.548             5.065                237.736            -2.704            -4.283
        13.624             4.906                239.675            -2.477            -4.235
        13.700             4.745                241.741            -2.246            -4.179
        13.775             4.580                243.950            -2.011            -4.115
        13.851             4.413                246.320            -1.772            -4.041
        13.927             4.243                248.874            -1.529            -3.957
        14.002             4.070                251.637            -1.282            -3.862
        14.078             3.894                254.640            -1.032            -3.755
        14.154             3.717                257.919            -0.778            -3.634
        14.229             3.537                261.520            -0.522            -3.499
        14.305             3.357                265.494            -0.264            -3.346
        14.381             3.176                269.908            -0.005            -3.176
        14.456             2.995                274.839             0.253            -2.985
        14.532             2.817                280.382             0.508            -2.771
        14.608             2.642                286.649             0.757            -2.531
        14.684             2.474                293.773             0.997            -2.264
        14.759             2.316                301.897             1.224            -1.966
        14.835             2.172                311.172             1.430            -1.635
        14.911             2.047                321.718             1.607            -1.268
        14.986             1.950                333.584             1.746            -0.867
        15.062             1.887                346.665             1.836            -0.435
        15.138             1.866                360.632             1.866             0.021
