                          Elliptical Orbit Data

                          Mstar =      1.050 Msun
                          a     =      6.220 AU
                          P     =     15.138 yr
                          e     =      0.500


        t (yr)            r (AU)            theta (deg)            x (AU)            y (AU)
        ------            ------            -----------            ------            ------
         0.000             3.110                  0.000             3.110             0.000
         0.076             3.116                  6.235             3.098             0.338
         0.151             3.135                 12.446             3.061             0.676
         0.227             3.165                 18.584             3.000             1.009
         0.303             3.207                 24.605             2.916             1.335
         0.378             3.260                 30.468             2.810             1.653
         0.454             3.323                 36.143             2.684             1.960
         0.530             3.396                 41.604             2.539             2.255
         0.606             3.476                 46.835             2.378             2.535
         0.681             3.564                 51.826             2.203             2.802
         0.757             3.658                 56.575             2.015             3.053
         0.833             3.757                 61.083             1.817             3.288
         0.908             3.860                 65.356             1.610             3.509
         0.984             3.967                 69.404             1.396             3.714
         1.060             4.077                 73.236             1.176             3.904
         1.135             4.189                 76.864             0.952             4.079
         1.211             4.303                 80.301             0.725             4.241
         1.287             4.417                 83.559             0.496             4.389
         1.362             4.533                 86.649             0.265             4.525
         1.438             4.648                 89.585             0.034             4.648
         1.514             4.764                 92.376            -0.198             4.760
         1.589             4.879                 95.034            -0.428             4.860
         1.665             4.994                 97.567            -0.658             4.950
         1.741             5.108                 99.986            -0.886             5.030
         1.817             5.221                102.297            -1.112             5.101
         1.892             5.333                104.510            -1.336             5.163
         1.968             5.444                106.630            -1.558             5.216
         2.044             5.554                108.665            -1.777             5.262
         2.119             5.662                110.620            -1.994             5.299
         2.195             5.769                112.502            -2.208             5.330
         2.271             5.874                114.314            -2.419             5.353
         2.346             5.978                116.062            -2.626             5.370
         2.422             6.081                117.749            -2.831             5.381
         2.498             6.181                119.380            -3.033             5.386
         2.573             6.280                120.959            -3.231             5.386
         2.649             6.378                122.488            -3.426             5.380
         2.725             6.474                123.970            -3.617             5.369
         2.800             6.568                125.409            -3.805             5.353
         2.876             6.660                126.808            -3.990             5.332
         2.952             6.751                128.167            -4.172             5.308
         3.028             6.840                129.491            -4.350             5.279
         3.103             6.927                130.780            -4.525             5.246
         3.179             7.013                132.036            -4.696             5.209
         3.255             7.097                133.263            -4.864             5.168
         3.330             7.179                134.460            -5.028             5.124
         3.406             7.260                135.630            -5.190             5.077
         3.482             7.339                136.774            -5.347             5.026
         3.557             7.416                137.894            -5.502             4.972
         3.633             7.492                138.991            -5.653             4.916
         3.709             7.566                140.065            -5.801             4.856
         3.784             7.638                141.119            -5.946             4.794
         3.860             7.709                142.153            -6.087             4.730
         3.936             7.778                143.168            -6.225             4.662
         4.011             7.845                144.165            -6.360             4.593
         4.087             7.911                145.145            -6.492             4.521
         4.163             7.975                146.108            -6.620             4.447
         4.239             8.038                147.057            -6.745             4.371
         4.314             8.099                147.990            -6.867             4.293
         4.390             8.158                148.910            -6.986             4.213
         4.466             8.216                149.816            -7.102             4.131
         4.541             8.272                150.709            -7.215             4.047
         4.617             8.327                151.591            -7.324             3.962
         4.693             8.380                152.460            -7.431             3.875
         4.768             8.432                153.319            -7.534             3.786
         4.844             8.482                154.167            -7.635             3.696
         4.920             8.531                155.006            -7.732             3.605
         4.995             8.578                155.834            -7.826             3.512
         5.071             8.624                156.654            -7.918             3.418
         5.147             8.668                157.465            -8.006             3.322
         5.222             8.711                158.267            -8.092             3.225
         5.298             8.752                159.062            -8.174             3.128
         5.374             8.792                159.850            -8.254             3.029
         5.450             8.830                160.630            -8.330             2.929
         5.525             8.867                161.403            -8.404             2.828
         5.601             8.902                162.170            -8.475             2.726
         5.677             8.936                162.931            -8.543             2.623
         5.752             8.969                163.686            -8.608             2.519
         5.828             9.000                164.436            -8.670             2.415
         5.904             9.030                165.181            -8.729             2.310
         5.979             9.058                165.920            -8.786             2.204
         6.055             9.085                166.655            -8.839             2.097
         6.131             9.110                167.386            -8.890             1.989
         6.206             9.134                168.113            -8.938             1.881
         6.282             9.157                168.836            -8.983             1.773
         6.358             9.178                169.555            -9.026             1.664
         6.434             9.198                170.271            -9.065             1.554
         6.509             9.216                170.984            -9.102             1.444
         6.585             9.233                171.694            -9.136             1.334
         6.661             9.249                172.401            -9.168             1.223
         6.736             9.263                173.106            -9.196             1.112
         6.812             9.276                173.809            -9.222             1.000
         6.888             9.287                174.510            -9.245             0.889
         6.963             9.298                175.209            -9.265             0.776
         7.039             9.306                175.907            -9.283             0.664
         7.115             9.314                176.603            -9.297             0.552
         7.190             9.320                177.299            -9.309             0.439
         7.266             9.324                177.993            -9.319             0.327
         7.342             9.328                178.687            -9.325             0.214
         7.417             9.329                179.380            -9.329             0.101
         7.493             9.330                180.073            -9.330            -0.012
         7.569             9.329                180.766            -9.328            -0.125
         7.645             9.327                181.459            -9.324            -0.237
         7.720             9.323                182.152            -9.317            -0.350
         7.796             9.319                182.846            -9.307            -0.463
         7.872             9.312                183.540            -9.294            -0.575
         7.947             9.305                184.236            -9.279            -0.687
         8.023             9.296                184.932            -9.261            -0.799
         8.099             9.285                185.630            -9.240            -0.911
         8.174             9.273                186.330            -9.217            -1.022
         8.250             9.260                187.031            -9.191            -1.134
         8.326             9.246                187.734            -9.162            -1.244
         8.401             9.230                188.440            -9.130            -1.355
         8.477             9.213                189.148            -9.096            -1.465
         8.553             9.194                189.858            -9.058            -1.574
         8.628             9.174                190.572            -9.019            -1.683
         8.704             9.153                191.288            -8.976            -1.792
         8.780             9.130                192.008            -8.930            -1.900
         8.856             9.106                192.732            -8.882            -2.007
         8.931             9.081                193.459            -8.831            -2.113
         9.007             9.054                194.190            -8.777            -2.219
         9.083             9.025                194.926            -8.721            -2.325
         9.158             8.996                195.666            -8.662            -2.429
         9.234             8.965                196.412            -8.599            -2.533
         9.310             8.932                197.162            -8.535            -2.636
         9.385             8.898                197.918            -8.467            -2.738
         9.461             8.863                198.680            -8.396            -2.839
         9.537             8.826                199.447            -8.323            -2.939
         9.612             8.788                200.221            -8.247            -3.038
         9.688             8.749                201.002            -8.168            -3.136
         9.764             8.708                201.790            -8.086            -3.232
         9.839             8.665                202.586            -8.001            -3.328
         9.915             8.622                203.389            -7.913            -3.422
         9.991             8.576                204.200            -7.823            -3.516
        10.067             8.530                205.020            -7.729            -3.607
        10.142             8.481                205.849            -7.633            -3.698
        10.218             8.432                206.687            -7.534            -3.787
        10.294             8.381                207.536            -7.431            -3.874
        10.369             8.328                208.394            -7.326            -3.960
        10.445             8.274                209.264            -7.218            -4.045
        10.521             8.219                210.145            -7.107            -4.127
        10.596             8.161                211.038            -6.993            -4.208
        10.672             8.103                211.943            -6.876            -4.287
        10.748             8.043                212.862            -6.756            -4.364
        10.823             7.981                213.794            -6.633            -4.439
        10.899             7.918                214.741            -6.507            -4.512
        10.975             7.854                215.703            -6.378            -4.583
        11.050             7.788                216.680            -6.246            -4.652
        11.126             7.720                217.675            -6.111            -4.718
        11.202             7.651                218.686            -5.972            -4.782
        11.278             7.581                219.717            -5.831            -4.844
        11.353             7.508                220.766            -5.687            -4.903
        11.429             7.435                221.836            -5.539            -4.959
        11.505             7.359                222.927            -5.389            -5.012
        11.580             7.283                224.041            -5.235            -5.063
        11.656             7.204                225.178            -5.078            -5.110
        11.732             7.124                226.340            -4.918            -5.154
        11.807             7.043                227.528            -4.755            -5.195
        11.883             6.960                228.744            -4.589            -5.232
        11.959             6.875                229.989            -4.420            -5.266
        12.034             6.789                231.265            -4.248            -5.296
        12.110             6.701                232.574            -4.073            -5.322
        12.186             6.612                233.916            -3.894            -5.344
        12.261             6.521                235.296            -3.713            -5.361
        12.337             6.429                236.714            -3.528            -5.374
        12.413             6.336                238.173            -3.341            -5.383
        12.489             6.240                239.676            -3.151            -5.387
        12.564             6.144                241.224            -2.958            -5.385
        12.640             6.046                242.822            -2.761            -5.378
        12.716             5.946                244.472            -2.563            -5.366
        12.791             5.846                246.178            -2.361            -5.347
        12.867             5.743                247.943            -2.157            -5.323
        12.943             5.640                249.771            -1.950            -5.292
        13.018             5.536                251.667            -1.741            -5.255
        13.094             5.430                253.635            -1.530            -5.210
        13.170             5.323                255.680            -1.317            -5.158
        13.245             5.216                257.809            -1.101            -5.098
        13.321             5.107                260.026            -0.885            -5.030
        13.397             4.998                262.338            -0.666            -4.954
        13.473             4.889                264.752            -0.447            -4.868
        13.548             4.779                267.275            -0.227            -4.773
        13.624             4.668                269.916            -0.007            -4.668
        13.700             4.558                272.684             0.213            -4.553
        13.775             4.448                275.586             0.433            -4.427
        13.851             4.339                278.634             0.651            -4.290
        13.927             4.231                281.837             0.868            -4.141
        14.002             4.124                285.206             1.082            -3.980
        14.078             4.019                288.751             1.292            -3.806
        14.154             3.916                292.485             1.498            -3.618
        14.229             3.816                296.418             1.698            -3.418
        14.305             3.719                300.559             1.891            -3.203
        14.381             3.627                304.918             2.076            -2.974
        14.456             3.539                309.503             2.251            -2.731
        14.532             3.457                314.317             2.415            -2.474
